a0	a3	!t0	!t1	!t2	!t3	!t4	!t5	!t6	!t7	!t8	!t9
22	255	0	0	1	0	0	0	0	0	0	0
63	71	0	0	1	0	0	0	0	0	0	0
95	177	0	0	1	0	0	0	0	0	0	0
26	7	0	0	1	0	0	0	0	0	0	0
56	225	0	0	1	0	0	0	0	0	0	0
74	60	0	0	1	0	0	0	0	0	0	0
25	120	0	0	1	0	0	0	0	0	0	0
83	225	0	0	1	0	0	0	0	0	0	0
36	124	0	0	1	0	0	0	0	0	0	0
66	195	0	0	1	0	0	0	0	0	0	0
26	116	0	0	1	0	0	0	0	0	0	0
103	112	0	0	1	0	0	0	0	0	0	0
18	255	0	0	1	0	0	0	0	0	0	0
74	255	0	0	1	0	0	0	0	0	0	0
66	195	0	0	1	0	0	0	0	0	0	0
75	15	0	0	1	0	0	0	0	0	0	0
88	224	0	0	1	0	0	0	0	0	0	0
27	120	0	0	1	0	0	0	0	0	0	0
132	0	0	0	1	0	0	0	0	0	0	0
31	6	0	0	1	0	0	0	0	0	0	0
45	240	0	0	1	0	0	0	0	0	0	0
55	14	0	0	1	0	0	0	0	0	0	0
153	225	0	0	1	0	0	0	0	0	0	0
86	137	0	0	1	0	0	0	0	0	0	0
52	199	0	0	1	0	0	0	0	0	0	0
35	30	0	0	1	0	0	0	0	0	0	0
45	4	0	0	1	0	0	0	0	0	0	0
168	16	0	0	1	0	0	0	0	0	0	0
61	251	0	0	1	0	0	0	0	0	0	0
66	240	0	0	1	0	0	0	0	0	0	0
32	28	0	0	1	0	0	0	0	0	0	0
90	31	0	0	1	0	0	0	0	0	0	0
86	18	0	0	1	0	0	0	0	0	0	0
39	227	0	0	1	0	0	0	0	0	0	0
63	66	0	0	1	0	0	0	0	0	0	0
120	225	0	0	1	0	0	0	0	0	0	0
78	225	0	0	1	0	0	0	0	0	0	0
64	225	0	0	1	0	0	0	0	0	0	0
48	135	0	0	1	0	0	0	0	0	0	0
47	30	0	0	1	0	0	0	0	0	0	0
66	225	0	0	1	0	0	0	0	0	0	0
165	131	0	0	1	0	0	0	0	0	0	0
84	120	0	0	1	0	0	0	0	0	0	0
63	144	0	0	1	0	0	0	0	0	0	0
71	229	0	0	1	0	0	0	0	0	0	0
66	0	0	0	1	0	0	0	0	0	0	0
76	96	0	0	1	0	0	0	0	0	0	0
106	31	0	0	1	0	0	0	0	0	0	0
92	196	0	0	1	0	0	0	0	0	0	0
85	2	0	0	1	0	0	0	0	0	0	0
47	254	0	0	1	0	0	0	0	0	0	0
104	231	0	0	1	0	0	0	0	0	0	0
93	12	0	0	1	0	0	0	0	0	0	0
101	255	0	0	1	0	0	0	0	0	0	0
128	224	0	0	1	0	0	0	0	0	0	0
49	55	0	0	1	0	0	0	0	0	0	0
21	15	0	0	1	0	0	0	0	0	0	0
73	236	0	0	1	0	0	0	0	0	0	0
71	30	0	0	1	0	0	0	0	0	0	0
70	30	0	0	1	0	0	0	0	0	0	0
71	74	0	0	1	0	0	0	0	0	0	0
86	30	0	0	1	0	0	0	0	0	0	0
71	14	0	0	1	0	0	0	0	0	0	0
91	223	0	0	1	0	0	0	0	0	0	0
103	217	0	0	1	0	0	0	0	0	0	0
73	3	0	0	1	0	0	0	0	0	0	0
147	4	0	0	1	0	0	0	0	0	0	0
